time,workload,stores
2025-11-03 21:27:00,7,1
2025-11-03 21:27:30,8,1
2025-11-03 21:28:00,8,1
2025-11-03 21:28:30,8,2
2025-11-03 21:29:00,7,2
2025-11-03 21:29:30,7,2
2025-11-03 21:30:00,6,2
2025-11-03 21:30:30,8,1
2025-11-03 21:31:00,8,2
2025-11-03 21:31:30,7,4
2025-11-03 21:32:00,7,4
2025-11-03 21:32:30,7,2
2025-11-03 21:33:00,7,3
2025-11-03 21:33:30,7,5
2025-11-03 21:34:00,7,1
2025-11-03 21:34:30,8,1
2025-11-03 21:35:00,6,2
2025-11-03 21:35:30,6,4
2025-11-03 21:36:00,6,1
2025-11-03 21:36:30,7,1
2025-11-03 21:37:00,7,2
2025-11-03 21:37:30,6,4
2025-11-03 21:38:00,5,3
2025-11-03 21:38:30,5,1
2025-11-03 21:39:00,4,1
2025-11-03 21:39:30,5,3
2025-11-03 21:40:00,5,3
2025-11-03 21:40:30,5,1
2025-11-03 21:41:00,3,1
2025-11-03 21:41:30,3,1
2025-11-03 21:42:00,3,1
2025-11-03 21:42:30,3,1
2025-11-03 21:43:00,3,1
2025-11-03 21:43:30,2,1
2025-11-03 21:44:00,2,1
2025-11-03 21:44:30,3,1
2025-11-03 21:45:00,2,1
2025-11-03 21:45:30,2,1
2025-11-03 21:46:00,2,1
2025-11-03 21:46:30,1,1
2025-11-03 21:47:00,1,1
2025-11-03 21:47:30,0,1
2025-11-03 21:48:00,0,1
2025-11-03 21:48:30,0,1
2025-11-03 21:49:00,0,1
2025-11-03 21:49:30,0,1
2025-11-03 21:50:00,0,1
2025-11-03 21:50:30,0,1
2025-11-03 21:51:00,0,1
2025-11-03 21:51:30,1,1
2025-11-03 21:52:00,1,1
2025-11-03 21:52:30,1,1
2025-11-03 21:53:00,1,1
2025-11-03 21:53:30,1,1
2025-11-03 21:54:00,1,1
2025-11-03 21:54:30,1,1
2025-11-03 21:55:00,1,1
2025-11-03 21:55:30,1,1
2025-11-03 21:56:00,1,1
2025-11-03 21:56:30,1,1
2025-11-03 21:57:00,1,1
2025-11-03 21:57:30,1,1
2025-11-03 21:58:00,1,1
2025-11-03 21:58:30,1,1
2025-11-03 21:59:00,1,1
2025-11-03 21:59:30,0,1
2025-11-03 22:00:00,0,1
2025-11-03 22:00:30,0,1
2025-11-03 22:01:00,0,1
2025-11-03 22:01:30,0,1
2025-11-03 22:02:00,0,1
2025-11-03 22:02:30,0,1
2025-11-03 22:03:00,0,1
2025-11-03 22:03:30,0,1
2025-11-03 22:04:00,0,1
2025-11-03 22:04:30,0,1
2025-11-03 22:05:00,0,1
2025-11-03 22:05:30,0,1
2025-11-03 22:06:00,0,1
2025-11-03 22:06:30,0,1
2025-11-03 22:07:00,0,1
2025-11-03 22:07:30,0,1
2025-11-03 22:08:00,0,1
2025-11-03 22:08:30,0,1
2025-11-03 22:09:00,0,1
2025-11-03 22:09:30,0,1
2025-11-03 22:10:00,0,1
2025-11-03 22:10:30,0,1
2025-11-03 22:11:00,0,1
2025-11-03 22:11:30,0,1
2025-11-03 22:12:00,0,1
2025-11-03 22:12:30,0,1
2025-11-03 22:13:00,0,1
2025-11-03 22:13:30,0,1
2025-11-03 22:14:00,0,1
2025-11-03 22:14:30,0,1
2025-11-03 22:15:00,0,1
2025-11-03 22:15:30,0,1
2025-11-03 22:16:00,0,1
2025-11-03 22:16:30,0,1
2025-11-03 22:17:00,0,1
2025-11-03 22:17:30,0,1
2025-11-03 22:18:00,0,1
2025-11-03 22:18:30,0,1
2025-11-03 22:19:00,0,1
2025-11-03 22:19:30,0,1
2025-11-03 22:20:00,0,1
2025-11-03 22:20:30,0,1
2025-11-03 22:21:00,0,1
2025-11-03 22:21:30,0,1
2025-11-03 22:22:00,0,1
2025-11-03 22:22:30,0,1
2025-11-03 22:23:00,0,1
2025-11-03 22:23:30,0,1
2025-11-03 22:24:00,0,1
2025-11-03 22:24:30,0,1
2025-11-03 22:25:00,0,1
2025-11-03 22:25:30,0,1
2025-11-03 22:26:00,0,1
2025-11-03 22:26:30,0,1
2025-11-03 22:27:00,0,1
2025-11-03 22:27:30,0,1
2025-11-03 22:28:00,0,1
2025-11-03 22:28:30,0,1
2025-11-03 22:29:00,0,1
2025-11-03 22:29:30,0,1
2025-11-03 22:30:00,0,1
2025-11-03 22:30:30,0,1
2025-11-03 22:31:00,0,1
2025-11-03 22:31:30,0,1
2025-11-03 22:32:00,0,1
2025-11-03 22:32:30,0,1
2025-11-03 22:33:00,0,1
2025-11-03 22:33:30,0,1
2025-11-03 22:34:00,0,1
2025-11-03 22:34:30,0,1
2025-11-03 22:35:00,0,1
2025-11-03 22:35:30,0,1
2025-11-03 22:36:00,0,1
2025-11-03 22:36:30,0,1
2025-11-03 22:37:00,0,1
2025-11-03 22:37:30,0,1
2025-11-03 22:38:00,0,1
2025-11-03 22:38:30,0,1
2025-11-03 22:39:00,0,1
2025-11-03 22:39:30,0,1
2025-11-03 22:40:00,0,1
2025-11-03 22:40:30,0,1
2025-11-03 22:41:00,0,1
2025-11-03 22:41:30,0,1
2025-11-03 22:42:00,0,1
2025-11-03 22:42:30,0,1
2025-11-03 22:43:00,0,1
2025-11-03 22:43:30,0,1
2025-11-03 22:44:00,0,1
2025-11-03 22:44:30,0,1
2025-11-03 22:45:00,0,1
2025-11-03 22:45:30,0,1
