sep=,
"Time","p0.9"
2025-11-04 18:41:00,13.9 ms
2025-11-04 18:41:05,23.9 ms
2025-11-04 18:41:10,24.9 ms
2025-11-04 18:41:15,26.7 ms
2025-11-04 18:41:20,13.9 ms
2025-11-04 18:41:25,22.8 ms
2025-11-04 18:41:30,21.8 ms
2025-11-04 18:41:35,13.9 ms
2025-11-04 18:41:40,14.9 ms
2025-11-04 18:41:45,22.8 ms
2025-11-04 18:41:50,14.9 ms
2025-11-04 18:41:55,10.5 ms
2025-11-04 18:42:00,12.8 ms
2025-11-04 18:42:05,14.9 ms
2025-11-04 18:42:10,12.8 ms
2025-11-04 18:42:15,12.8 ms
2025-11-04 18:42:20,12.8 ms
2025-11-04 18:42:25,9.96 ms
2025-11-04 18:42:30,12.8 ms
2025-11-04 18:42:35,16.0 ms
2025-11-04 18:42:40,12.6 ms
2025-11-04 18:42:45,37.5 ms
